zip,latitude,longitude,city,state,county,name
03299,43.524872,-71.445841,Tilton,NH,Belknap,New Hampshire
07001,40.582845,-74.27524,Avenel,NJ,Middlesex,New Jersey
07677,,,Woodcliff Lake,NJ,Bergen,New Jersey
08899,40.520254,-74.420545,Edison,NJ,Middlesex,New Jersey
19906,,,Dover,DE,Kent,Delaware
13440,43.20886,-75.383365,Rome,NY,Oneida,New York
31546,31.531938,-81.804924,Jesup,GA,Wayne,Georgia
33877,27.976883,-81.614414,Waverly,FL,Polk,Florida
45280,,,Cincinnati,OH,,Ohio
51550,41.693412,-95.889638,Magnolia,IA,Harrison,Iowa
50002,41.439109,-94.633805,Adair,IA,Adair,Iowa
54001,45.348566,-92.401379,Amery,WI,Polk,Wisconsin
54460,44.900923,-90.627475,Owen,WI,Clark,Wisconsin
60688,,,Chicago,IL,Cook,Illinois
63675,37.505462,-90.845047,Vulcan,MO,Iron,Missouri
63458,40.126767,-92.147994,Newark,MO,Knox,Missouri
18202,,,Hazleton,PA,Luzerne,Pennsylvania
65584,,,Saint Robert,MO,Pulaski,Missouri
20001,38.911936,-77.016719,Washington,DC,District Of Columbia,Washington DC
75071,,,Mc Kinney,TX,Collin,Texas
20003,38.860315,-76.988897,Washington,DC,District Of Columbia,Washington DC
92386,34.247205,-116.818764,Sugarloaf,CA,San Bernardino,California
20005,38.904011,-77.031695,Washington,DC,District Of Columbia,Washington DC
20002,38.908218,-76.982147,Washington,DC,District Of Columbia,Washington DC
20007,38.914561,-77.075649,Washington,DC,District Of Columbia,Washington DC
20004,38.892247,-77.019477,Washington,DC,District Of Columbia,Washington DC
20009,38.919261,-77.039798,Washington,DC,District Of Columbia,Washington DC
20006,38.897131,-77.041248,Washington,DC,District Of Columbia,Washington DC
20010,38.932711,-77.030248,Washington,DC,District Of Columbia,Washington DC
20008,38.93521,-77.060399,Washington,DC,District Of Columbia,Washington DC
20012,38.980231,-77.026298,Washington,DC,District Of Columbia,Washington DC
20011,38.95261,-77.017898,Washington,DC,District Of Columbia,Washington DC
20016,38.93826,-77.091149,Washington,DC,District Of Columbia,Washington DC
20013,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20018,38.93056,-76.977953,Washington,DC,District Of Columbia,Washington DC
20015,38.96926,-77.070949,Washington,DC,District Of Columbia,Washington DC
20029,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20017,38.93846,-76.993068,Washington,DC,District Of Columbia,Washington DC
20030,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20019,38.891561,-76.939396,Washington,DC,District Of Columbia,Washington DC
20032,38.8368,-76.997697,Washington,DC,District Of Columbia,Washington DC
20020,38.85761,-76.971547,Washington,DC,District Of Columbia,Washington DC
20036,38.900659,-77.039914,Washington,DC,District Of Columbia,Washington DC
20024,38.876494,-77.022948,Washington,DC,District Of Columbia,Washington DC
20038,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20026,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20041,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20033,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20043,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20035,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20045,38.896599,-77.0319,Washington,DC,District Of Columbia,Washington DC
20037,38.918903,-77.061781,Washington,DC,District Of Columbia,Washington DC
20047,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20039,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20049,38.895911,-77.020998,Washington,DC,District Of Columbia,Washington DC
20040,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20050,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20042,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20052,38.90014,-77.047899,Washington,DC,District Of Columbia,Washington DC
20044,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20056,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20046,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20058,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20051,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20061,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20053,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20063,38.905317,-77.046645,Washington,DC,District Of Columbia,Washington DC
20055,38.901633,-77.020959,Washington,DC,District Of Columbia,Washington DC
20065,38.883412,-77.028198,Washington,DC,District Of Columbia,Washington DC
20057,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20067,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20059,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20069,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20060,38.918011,-77.020398,Washington,DC,District Of Columbia,Washington DC
20070,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20062,38.900009,-77.036948,Washington,DC,District Of Columbia,Washington DC
20074,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20064,38.933161,-76.996348,Washington,DC,District Of Columbia,Washington DC
20076,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20066,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20078,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
60399,,,Bensenville,IL,Du Page,Illinois
20068,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20081,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20071,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20090,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20073,38.897011,-77.025098,Washington,DC,District Of Columbia,Washington DC
20098,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20075,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20201,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20077,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20203,38.905317,-77.046645,Washington,DC,District Of Columbia,Washington DC
20080,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20207,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20082,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20210,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20088,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20212,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20091,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20214,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20097,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20216,38.891911,-77.014098,Washington,DC,District Of Columbia,Washington DC
20099,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20218,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20202,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20221,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20204,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20223,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20206,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20227,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20208,38.896611,-77.011748,Washington,DC,District Of Columbia,Washington DC
20229,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20211,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20230,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20213,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20232,38.900561,-77.039099,Washington,DC,District Of Columbia,Washington DC
20215,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20238,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20217,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20241,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20219,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20245,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20220,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20250,38.887323,-77.03274,Washington,DC,District Of Columbia,Washington DC
20222,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20254,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20224,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20261,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20226,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20265,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20228,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20270,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20231,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20289,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20233,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20306,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20235,38.915361,-77.057199,Washington,DC,District Of Columbia,Washington DC
20315,38.928861,-77.017948,Washington,DC,District Of Columbia,Washington DC
20237,,,Washington,DC,District Of Columbia,Washington DC
20317,38.931161,-77.010298,Washington,DC,District Of Columbia,Washington DC
20239,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20319,38.866745,-77.016556,Washington,DC,District Of Columbia,Washington DC
20240,38.897143,-77.040895,Washington,DC,District Of Columbia,Washington DC
20337,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20242,38.867812,-77.028948,Washington,DC,District Of Columbia,Washington DC
20340,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20244,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20373,38.893311,-77.014647,Anacostia Annex,DC,District Of Columbia,Washington DC
20251,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20375,38.826163,-77.017448,Washington,DC,District Of Columbia,Washington DC
20260,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20380,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20262,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20388,38.872553,-76.996605,Washington,DC,District Of Columbia,Washington DC
20266,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20391,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20268,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20393,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20277,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20395,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20299,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20401,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20301,38.889357,-77.031113,Washington,DC,District Of Columbia,Washington DC
20403,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20303,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20405,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20307,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20407,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20310,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20409,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20314,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20410,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20318,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20412,38.895261,-77.022098,Washington,DC,District Of Columbia,Washington DC
20330,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20414,38.883962,-77.022098,Washington,DC,District Of Columbia,Washington DC
20332,38.834563,-77.015848,Washington,DC,District Of Columbia,Washington DC
20416,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20336,38.860415,-77.022545,Washington,DC,District Of Columbia,Washington DC
20418,38.904253,-77.05723,Washington,DC,District Of Columbia,Washington DC
20338,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20421,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20350,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20423,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20370,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20425,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20372,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20427,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20374,38.855522,-77.002197,Washington,DC,District Of Columbia,Washington DC
20429,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20376,,,Washington,DC,District Of Columbia,Washington DC
20434,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20389,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20436,38.895927,-77.021068,Washington,DC,District Of Columbia,Washington DC
20390,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20441,38.923861,-77.036349,Washington,DC,District Of Columbia,Washington DC
20392,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20447,38.884712,-77.025198,Washington,DC,District Of Columbia,Washington DC
20394,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20456,38.898111,-77.040149,Washington,DC,District Of Columbia,Washington DC
20398,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20463,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20402,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20469,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20404,38.899161,-77.008948,Washington,DC,District Of Columbia,Washington DC
20470,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20406,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20472,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20408,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20500,,,Washington,DC,District Of Columbia,Washington DC
20411,38.883962,-77.022098,Washington,DC,District Of Columbia,Washington DC
20502,38.89872,-77.036198,Washington,DC,District Of Columbia,Washington DC
20413,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20504,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20415,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20506,38.899364,-77.037668,Washington,DC,District Of Columbia,Washington DC
20419,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20508,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20420,38.903461,-77.027648,Washington,DC,District Of Columbia,Washington DC
20515,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20422,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20520,38.893217,-77.048957,Washington,DC,District Of Columbia,Washington DC
20424,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20522,38.893217,-77.048957,Washington,DC,District Of Columbia,Washington DC
20426,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20524,38.902414,-77.032601,Washington,DC,District Of Columbia,Washington DC
20428,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20526,38.902217,-77.043738,Washington,DC,District Of Columbia,Washington DC
20431,38.898618,-77.042753,Washington,DC,District Of Columbia,Washington DC
20531,38.893761,-77.021848,Washington,DC,District Of Columbia,Washington DC
20433,38.899996,-77.041976,Washington,DC,District Of Columbia,Washington DC
20533,38.901102,-77.032591,Washington,DC,District Of Columbia,Washington DC
20435,38.899399,-77.040319,Washington,DC,District Of Columbia,Washington DC
20535,38.894097,-77.025133,Washington,DC,District Of Columbia,Washington DC
20437,38.902761,-77.048499,Washington,DC,District Of Columbia,Washington DC
20537,38.894097,-77.025133,Washington,DC,District Of Columbia,Washington DC
20439,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20539,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20440,38.913911,-77.045349,Washington,DC,District Of Columbia,Washington DC
20540,38.887405,-77.004663,Washington,DC,District Of Columbia,Washington DC
20442,38.895977,-77.017668,Washington,DC,District Of Columbia,Washington DC
20542,38.940761,-77.028348,Washington,DC,District Of Columbia,Washington DC
20444,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20544,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20451,38.897711,-77.044449,Washington,DC,District Of Columbia,Washington DC
20546,38.890976,-77.021092,Washington,DC,District Of Columbia,Washington DC
20453,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20548,38.898111,-77.017698,Washington,DC,District Of Columbia,Washington DC
20460,38.876362,-77.018798,Washington,DC,District Of Columbia,Washington DC
20551,38.891995,-77.045219,Washington,DC,District Of Columbia,Washington DC
20468,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20553,38.887333,-77.023118,Washington,DC,District Of Columbia,Washington DC
20501,38.89872,-77.036198,Washington,DC,District Of Columbia,Washington DC
20555,38.900011,-77.040149,Washington,DC,District Of Columbia,Washington DC
20503,38.900711,-77.043068,Washington,DC,District Of Columbia,Washington DC
20557,38.887405,-77.004663,Washington,DC,District Of Columbia,Washington DC
20505,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20559,38.887405,-77.004663,Washington,DC,District Of Columbia,Washington DC
20507,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20560,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20510,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20566,38.897074,-77.05535,Washington,DC,District Of Columbia,Washington DC
20521,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20571,38.900559,-77.034554,Washington,DC,District Of Columbia,Washington DC
20523,38.89449,-77.047807,Washington,DC,District Of Columbia,Washington DC
20573,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20525,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20575,38.893311,-77.014647,Washington,DC,District Of Columbia,Washington DC
20527,38.902933,-77.036091,Washington,DC,District Of Columbia,Washington DC
20577,38.900758,-77.034455,Washington,DC,District Of Columbia,Washington DC
20530,38.897561,-77.026998,Washington,DC,District Of Columbia,Washington DC
20579,38.904311,-77.044649,Washington,DC,District Of Columbia,Washington DC
